Quotes,Author
"People tend to think of the web as a way to get information or perhaps as a place to carry out ecommerce. But really, the web is about accessing applications. Think of each website as an application, and every single click, every single interaction with that site, is an opportunity to be on the very latest version of that application.",Marc Andreessen
Quotes,Author
"Most people who end up being successful have good grades, but it's orthogonal - there's no extra information than if they put together a website and have bunch of fans who love coming and seeing what they're doing.",Gabe Newell
"Everything we do is designed, whether we're producing a magazine, a website, or a bridge. Design is really the creative invention that designs everything.",Henry Petroski
Create a website that expresses something about who you are that won't fit into the template available to you on a social networking site.,Jaron Lanier
"Search engine marketing and search engine optimization are critically important to online businesses. You can spend every penny you have on a website, but it will all be for nothing if nobody knows your site is there.",Marc Ostrofsky
"Read every book, blog, website, whatever, about what you want to be an expert in.",James Altucher
Store windows are like landing pages on the website.,Angela Ahrendts
"I'd think of a topic and just rant on it and transfer it to the computer, upload it. It's such a quick thing. You post it on your website and after an hour, 10 people write comments.",Andy Milonakis
"From the store windows, the store touch-points, the website, social media, or a magazine, it has to be one pure customer experience, not just to gain market share but to gain mind share.",Angela Ahrendts
"I have always viewed the mission of Wikipedia to be much bigger than just creating a killer website. We're doing that of course, and having a lot of fun doing it, but a big part of what motivates us is our larger mission to affect the world in a positive way.",Jimmy Wales
Social media is key to promoting the editorial posts on my website.,Lauren Conrad
"I have a website because it's an interesting tool, very - and quite unexpectedly - useful for my work. It's become an archive and a fairly complete on-line portfolio, as well as offering an opportunity to write a little.",John Howe
"Genealogy is among the fastest-growing leisure pursuits in the U.K. Indeed, the urge to uncover the truth about our ancestors has proved so compelling that, when the 1901 census first went online, the website crashed after a million people logged on within hours of its launch.",Rory Bremner
"As an entrepreneur you keep trying things, and I try everything. I try business ideas, on our website we test everything, iterate, iterate, iterate.",Fabrice Grinda
"On the Internet, news is consumed a la carte. If someone shows up on the main page of a website and doesn't see anything of interest, they leave. This negatively impacts ad revenues. The solution on the Internet is to pack news websites full of things that will draw people in, regardless of whether they are news or not.",Drew Curtis
"Computers let people avoid people, going out to explore. It's so different to just open a website instead of looking at a Picasso in a museum in Paris.",Raf Simons
"I was the first blogger on the Times's website. That happened during the Iraq war, when I wanted an outlet for the things I was seeing every day that couldn't fit into just two columns a week. Then I became interested in using multimedia, specifically as a way to engage young people.",Nicholas Kristof
"I love being on stage if I'm not on a set. If I'm at home, I'm usually in my office editing or reconstructing my website or whatever it may be. I just love putting creativity into a performance, so if the right script comes along, and I certainly am reading comedies and dramas now, then I'm ready willing and able to give it a shot.",Dane Cook
"I've ended up on some website list or some other list for super right-wing people. They've been tweeting some pretty rude stuff at me, so I think there's a sect of America out there that doesn't like certain opinions and can really take their claws out when they don't like what you're saying.",Jack Antonoff
"When I was first pregnant, I Googled a maternity website, and there was nothing that spoke to a girl with my lifestyle who had kids - everything was very boring and very pinky. I wanted to create a platform for all those amazing, beautiful, sexy, hands-on mummies and for them to share their lifestyles, their beauty tips.",Julia Restoin Roitfeld
Good website practice and optimizing for conversion usually makes for good search engine optimization. These work together to ensure you drive quality traffic and can persuade that traffic to help you meet your business goals.,Marc Ostrofsky
You'd be surprised how many kids and young people come to the website and send me email that they are actually going into the Marine Corp because of something that I said or did.,R. Lee Ermey
"I'm very happy with the way I look. I wake up some morning, catch myself in the bathroom mirror, and go, 'hey girl, you're alright'. But on the other hand, I find the website stuff, and the polls, something completely removed from my own personal life. You can't take anything like that too seriously, otherwise you'd end up in the loony bin.",Cameron Diaz
"When a human being becomes a set of data on a website like Facebook, he or she is reduced. Everything shrinks. Individual character. Friendships. Language. Sensibility.",Zadie Smith
"With 'Scratch,' you create computer programs by snapping together graphical programming blocks, much like LEGO bricks, without any of the obscure syntax and punctuation of traditional programming languages. After creating an interactive 'Scratch' project, you can share it on the 'Scratch' website, just as you would share videos on YouTube.",Mitchel Resnick
"A website can be very time-intensive, but I'd love to have one where people can contribute to it - like invent islands and make their own flags, and their own laws. I think that'd be kind of fun.",Eric Idle
"People tend to think of the web as a way to get information or perhaps as a place to carry out ecommerce. But really, the web is about accessing applications. Think of each website as an application, and every single click, every single interaction with that site, is an opportunity to be on the very latest version of that application.",Marc Andreessen
